Accession,Description,Gene,MW [kDa],Control_3,Case_3
P49792,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,RANBP2,358.0,122269130.43339285,178889648.1976187
Q9UM54,Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4,MYO6,149.6,463515883.6974726,608277258.8742776
P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,FASN,273.3,163639796.92052495,185852564.95459744
P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,MAP4,120.9,465135230.6391747,462627552.3682771
P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,PRKDC,468.8,65238697.88327783,155331478.17212403
O75533,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,SF3B1,145.7,321487309.38793576,315843058.53881615
Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,TLN1,269.6,79282677.89116478,61411132.68584652
Q16666,Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3,IFI16,88.2,1733964825.8852096,3139708445.60962
P27144,"Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1",AK4,61.6,3632711633.6601553,3632711633.6601553
Q7L014,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,DDX46,117.3,281444288.6951679,143062375.44359854
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,SNRNP200,244.4,97615514.57393418,105171945.03363752
Q8N3C0,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3,ASCC3,251.3,376167226.7566754,425930319.165131
P46013,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,MKI67,358.5,62764303.86409714,66061067.29841645
Q8IVF2,Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,AHNAK2,616.2,51901368.99680133,63875049.62283943
Q14839,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,CHD4,217.9,94938397.64593047,83245008.37656817
Q92797,Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2,SYMPK,141.1,141375519.18602365,146091848.73655704
Q96N67,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,DOCK7,242.4,85721226.29059267,116865253.74444728
P50990,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,CCT8,59.6,1588015240.153801,1343544335.5436811
Q9Y265,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,RUVBL1,86.6,3579517.158859882,3409793.237153398
Q07157,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,TJP1,195.3,66052828.365886815,48884079.74115766
P12235,ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4,SLC25A4,69.4,166566026.09168264,274245881.5830109
Q9UQ35,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,SRRM2,299.4,87054831.58062226,104150257.2708713
Q96RQ3,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3",MCCC1,80.4,182292666.96679768,523413478.3168822
Q9UPQ9,Trinucleotide repeat-containing gene 6B protein OS=Homo sapiens OX=9606 GN=TNRC6B PE=1 SV=4,TNRC6B,193.9,47970476.916311346,39261026.053148866
Q9UMZ2,Synergin gamma OS=Homo sapiens OX=9606 GN=SYNRG PE=1 SV=2,SYNRG,140.6,105377245.35758266,142340751.0725347
Q14980,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,NUMA1,238.1,30867323.536891848,37330460.43456657
Q13501,Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1,SQSTM1,84.0,1044079.9832189771,1380248.7760152996
Q9NRZ9,Lymphoid-specific helicase OS=Homo sapiens OX=9606 GN=HELLS PE=1 SV=1,HELLS,97.0,306262855.6366451,286755148.3330252
